Sample_ID,District,Latitude,Longitude,Agro_Ecological_Zone,Soil_Order_Classification,pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Sand,Clay,Silt
SL_SOIL_00828,Batticaloa,7.83474,81.010291,Dry Zone,Vertisols,6.17,1.024,13.19,162.28,1.33,58.22,21.88,19.89
SL_SOIL_00829,Monaragala,6.879577,81.276256,Intermediate Zone,Alfisols,5.85,1.239,14.53,124.33,1.23,63.85,24.54,11.61
SL_SOIL_00830,Batticaloa,7.704407,81.415669,Dry Zone,Vertisols,6.98,1.0,15.26,145.84,1.55,59.15,23.06,17.79
SL_SOIL_00831,Matale,7.618824,80.836508,Intermediate Zone,Alfisols,4.73,1.513,14.28,142.69,1.87,54.28,19.14,26.58
SL_SOIL_00832,Polonnaruwa,7.863236,80.838912,Dry Zone,Vertisols,6.25,0.928,11.1,152.61,0.92,52.74,23.23,24.03
SL_SOIL_00833,Vavuniya,8.974158,80.647402,Dry Zone,Alfisols,6.74,0.942,14.23,151.1,1.39,52.11,20.36,27.53
SL_SOIL_00834,Gampaha,7.205996,80.11364,Wet Zone,Ultisols,5.69,1.476,10.98,120.97,1.74,65.81,14.01,20.19
SL_SOIL_00835,Kilinochchi,9.557981,80.251486,Dry Zone,Alfisols,6.99,1.094,12.17,156.28,0.66,53.76,15.48,30.76
SL_SOIL_00836,Puttalam,8.003595,80.042736,Dry Zone,Alfisols,6.53,0.792,3.34,97.31,0.64,77.21,14.85,7.94
SL_SOIL_00837,Galle,6.116418,80.166273,Wet Zone,Ultisols,4.72,1.683,29.64,142.75,2.81,53.52,28.61,17.86
SL_SOIL_00838,Nuwara Eliya,6.929574,80.742005,Up Country Wet Zone,Inceptisols,4.78,1.723,14.01,135.43,3.32,40.19,32.53,27.27
SL_SOIL_00839,Gampaha,7.038419,80.034888,Wet Zone,Ultisols,5.79,0.886,3.0,109.39,1.23,59.94,12.99,27.06
SL_SOIL_00840,Nuwara Eliya,6.871461,80.832479,Up Country Wet Zone,Inceptisols,5.1,1.985,27.54,135.86,3.97,32.04,32.21,35.76
SL_SOIL_00841,Kurunegala,7.829684,80.37236,Intermediate Zone,Alfisols,5.98,1.023,15.16,101.59,1.14,68.24,17.72,14.04
SL_SOIL_00842,Gampaha,7.113728,80.088636,Wet Zone,Ultisols,5.66,0.806,11.69,106.09,1.11,58.36,20.99,20.65
SL_SOIL_00843,Kurunegala,7.654748,80.604005,Intermediate Zone,Alfisols,5.58,1.339,13.64,134.91,1.51,57.32,19.79,22.89
SL_SOIL_00844,Batticaloa,7.813313,81.492798,Dry Zone,Vertisols,6.98,1.133,10.55,141.61,1.77,67.41,27.04,5.56
SL_SOIL_00845,Puttalam,8.255907,79.812419,Dry Zone,Alfisols,6.12,0.764,7.35,102.68,0.91,70.36,9.23,20.41
SL_SOIL_00846,Gampaha,7.247209,80.084887,Wet Zone,Ultisols,5.21,1.259,12.19,92.81,1.87,56.21,25.61,18.19
SL_SOIL_00847,Anuradhapura,8.540851,80.7971,Dry Zone,Alfisols,6.04,0.774,11.97,98.7,0.77,76.12,10.75,13.12
SL_SOIL_00848,Kegalle,7.211124,80.497291,Wet Zone,Ultisols,5.15,1.748,10.43,145.43,2.56,55.95,30.12,13.93
SL_SOIL_00849,Nuwara Eliya,6.926595,80.767505,Up Country Wet Zone,Inceptisols,5.07,1.44,8.05,145.47,1.58,42.38,43.04,14.58
SL_SOIL_00850,Colombo,6.86885,79.90279,Wet Zone,Ultisols,5.52,1.392,17.95,127.21,2.07,58.26,23.54,18.2
SL_SOIL_00851,Ratnapura,6.595802,80.596789,Wet Zone,Ultisols,4.88,1.936,13.01,145.31,4.02,38.65,35.8,25.55
SL_SOIL_00852,Batticaloa,7.547884,81.096207,Dry Zone,Vertisols,6.49,0.875,14.9,141.92,1.24,62.14,31.74,6.12
SL_SOIL_00853,Monaragala,7.066889,81.140214,Intermediate Zone,Alfisols,5.04,1.019,9.54,107.95,1.24,62.77,27.66,9.57
SL_SOIL_00854,Jaffna,9.790497,80.024763,Dry Zone,Alfisols,7.45,0.703,9.36,170.94,1.34,73.69,5.0,21.31
SL_SOIL_00855,Puttalam,8.019184,80.1679,Dry Zone,Alfisols,6.51,0.954,14.46,120.99,1.03,76.96,15.44,7.6
SL_SOIL_00856,Trincomalee,8.837043,81.276817,Dry Zone,Alfisols,7.13,1.297,9.85,161.65,1.41,63.7,17.86,18.44
SL_SOIL_00857,Matale,7.528813,80.718839,Intermediate Zone,Alfisols,5.43,1.22,12.4,118.09,1.8,59.66,29.69,10.64
SL_SOIL_00858,Kandy,7.44426,80.604565,Wet Zone,Ultisols,6.0,1.367,15.66,134.96,2.43,49.53,37.47,13.0
SL_SOIL_00859,Jaffna,9.570856,79.723842,Dry Zone,Alfisols,7.57,0.76,15.28,163.51,0.93,61.26,18.22,20.52
SL_SOIL_00860,Ratnapura,6.702282,80.540921,Wet Zone,Ultisols,5.13,1.553,10.73,133.46,2.45,50.89,33.38,15.73
SL_SOIL_00861,Trincomalee,8.729907,81.276964,Dry Zone,Alfisols,6.53,0.89,7.58,134.87,1.06,67.92,25.19,6.89
SL_SOIL_00862,Jaffna,9.735345,80.075808,Dry Zone,Alfisols,7.37,0.643,19.65,177.89,1.03,68.0,12.45,19.54
SL_SOIL_00863,Trincomalee,8.46987,81.012137,Dry Zone,Alfisols,7.05,0.939,9.37,145.85,0.98,69.84,16.78,13.38
SL_SOIL_00864,Anuradhapura,8.326926,80.544034,Dry Zone,Alfisols,6.29,0.694,8.08,125.52,1.21,68.23,13.57,18.2
SL_SOIL_00865,Ratnapura,6.579182,80.67678,Wet Zone,Ultisols,4.6,1.86,18.03,133.47,2.7,42.62,29.52,27.86
SL_SOIL_00866,Matale,7.556535,80.717885,Intermediate Zone,Alfisols,5.36,1.311,14.73,134.0,1.93,55.37,24.73,19.9
SL_SOIL_00867,Gampaha,7.190708,79.960122,Wet Zone,Ultisols,6.06,1.338,12.46,129.65,2.52,60.57,26.18,13.24
SL_SOIL_00868,Nuwara Eliya,7.048328,80.817746,Up Country Wet Zone,Inceptisols,5.1,2.077,10.65,155.52,3.97,34.46,43.28,22.26
SL_SOIL_00869,Polonnaruwa,7.971451,81.016678,Dry Zone,Vertisols,6.1,0.988,11.09,158.73,0.94,68.18,19.45,12.38
SL_SOIL_00870,Gampaha,7.048408,79.909522,Wet Zone,Ultisols,6.06,1.426,11.52,112.91,1.83,59.81,18.53,21.66
SL_SOIL_00871,Mullaitivu,9.000047,80.460076,Dry Zone,Alfisols,7.35,0.71,18.18,150.77,0.82,62.49,14.16,23.35
SL_SOIL_00872,Kilinochchi,9.431191,80.347682,Dry Zone,Alfisols,6.39,0.414,14.28,162.32,0.8,66.85,12.33,20.82
SL_SOIL_00873,Kilinochchi,9.613669,80.293515,Dry Zone,Alfisols,7.48,0.716,11.38,156.75,0.96,49.98,17.85,32.17
SL_SOIL_00874,Ampara,7.020192,81.607055,Dry Zone,Vertisols,6.44,1.083,17.08,135.88,1.08,60.29,22.71,17.0
SL_SOIL_00875,Kilinochchi,9.510159,80.29016,Dry Zone,Alfisols,6.5,0.729,13.4,160.59,1.38,65.37,25.42,9.21
SL_SOIL_00876,Puttalam,7.767868,80.145934,Dry Zone,Alfisols,5.76,0.836,10.73,106.62,1.06,72.89,9.72,17.39
SL_SOIL_00877,Batticaloa,7.669538,81.339379,Dry Zone,Vertisols,6.57,1.119,15.61,143.4,1.21,62.21,20.48,17.3
SL_SOIL_00878,Kegalle,7.268973,80.385944,Wet Zone,Ultisols,5.67,1.555,14.77,120.47,1.98,49.41,35.83,14.76
SL_SOIL_00879,Monaragala,6.811911,81.177657,Intermediate Zone,Alfisols,6.29,0.977,10.54,131.84,1.3,61.47,9.84,28.69
SL_SOIL_00880,Monaragala,7.100571,81.292209,Intermediate Zone,Alfisols,6.4,0.621,9.36,137.15,0.84,55.68,13.71,30.61
SL_SOIL_00881,Ampara,7.01796,81.830344,Dry Zone,Vertisols,6.59,1.136,20.1,129.53,1.36,65.11,16.48,18.41
SL_SOIL_00882,Kilinochchi,9.440795,80.555865,Dry Zone,Alfisols,7.11,0.809,13.49,129.19,1.13,65.97,19.98,14.05
SL_SOIL_00883,Badulla,7.058242,81.099063,Up Country Intermediate Zone,Inceptisols,5.14,1.314,22.93,149.53,2.42,33.83,35.23,30.94
SL_SOIL_00884,Ampara,7.232,81.436935,Dry Zone,Vertisols,6.51,0.826,11.82,144.52,1.2,63.57,25.35,11.08
SL_SOIL_00885,Matara,6.076358,80.649269,Wet Zone,Ultisols,5.04,1.41,22.85,132.3,2.09,44.59,25.23,30.18
SL_SOIL_00886,Kandy,7.230141,80.573988,Wet Zone,Ultisols,4.75,1.752,7.49,157.5,2.31,50.98,26.62,22.4
SL_SOIL_00887,Matara,5.934091,80.597345,Wet Zone,Ultisols,5.55,1.305,11.26,115.95,1.87,55.01,25.49,19.5
SL_SOIL_00888,Kandy,7.273317,80.734232,Wet Zone,Ultisols,5.45,1.543,16.31,132.27,2.59,54.24,28.46,17.3
SL_SOIL_00889,Ratnapura,6.740124,80.67455,Wet Zone,Ultisols,5.94,1.659,17.46,125.53,2.17,48.14,37.37,14.48
SL_SOIL_00890,Kegalle,7.295855,80.416167,Wet Zone,Ultisols,5.18,1.391,13.73,131.1,2.31,54.67,28.23,17.09
SL_SOIL_00891,Kalutara,6.736072,80.046648,Wet Zone,Ultisols,5.64,1.249,16.49,143.71,1.24,55.55,25.99,18.45
SL_SOIL_00892,Kalutara,6.489378,80.259546,Wet Zone,Ultisols,4.96,1.222,15.04,105.8,1.92,43.72,22.06,34.21
SL_SOIL_00893,Kurunegala,7.482275,80.551676,Intermediate Zone,Alfisols,6.68,1.261,3.29,132.97,1.09,62.23,14.94,22.83
SL_SOIL_00894,Puttalam,8.238254,79.78742,Dry Zone,Alfisols,6.51,0.825,6.28,124.61,0.9,75.72,17.9,6.39
SL_SOIL_00895,Puttalam,7.830492,79.770161,Dry Zone,Alfisols,7.2,0.548,6.64,96.97,0.78,73.36,17.71,8.93
SL_SOIL_00896,Polonnaruwa,7.743803,80.990788,Dry Zone,Vertisols,6.15,0.902,16.25,136.74,0.78,65.52,16.52,17.96
SL_SOIL_00897,Matale,7.501381,80.65691,Intermediate Zone,Alfisols,5.73,1.217,16.27,118.12,1.78,61.48,28.18,10.34
SL_SOIL_00898,Kurunegala,7.717512,80.264629,Intermediate Zone,Alfisols,6.07,1.068,13.74,124.39,1.37,61.09,18.71,20.2
SL_SOIL_00899,Jaffna,9.678594,80.112101,Dry Zone,Alfisols,7.28,0.991,13.71,170.82,1.14,67.72,14.78,17.5
SL_SOIL_00900,Badulla,7.091484,81.048415,Up Country Intermediate Zone,Inceptisols,4.89,1.399,18.71,144.92,2.56,47.68,29.9,22.42
SL_SOIL_00901,Polonnaruwa,8.155714,81.050782,Dry Zone,Vertisols,6.03,0.93,17.02,152.69,1.09,48.51,26.99,24.5
SL_SOIL_00902,Nuwara Eliya,6.938342,80.852152,Up Country Wet Zone,Inceptisols,5.21,1.428,8.92,139.19,3.05,40.46,38.88,20.66
SL_SOIL_00903,Colombo,6.897056,79.927629,Wet Zone,Ultisols,5.66,1.192,14.1,109.52,1.34,60.47,20.94,18.59
SL_SOIL_00904,Matale,7.440869,80.691069,Intermediate Zone,Alfisols,5.56,1.17,17.89,130.03,1.25,61.17,23.01,15.83
SL_SOIL_00905,Hambantota,6.071962,80.849338,Dry Zone,Alfisols,6.56,1.189,18.84,124.93,1.41,70.85,21.37,7.77
SL_SOIL_00906,Mannar,8.915527,79.916249,Dry Zone,Alfisols,7.44,1.049,13.86,138.75,0.94,71.88,12.02,16.1
SL_SOIL_00907,Vavuniya,8.768648,80.457738,Dry Zone,Alfisols,6.59,0.818,7.48,159.95,1.26,59.7,20.8,19.49
SL_SOIL_00908,Gampaha,7.24158,79.895931,Wet Zone,Ultisols,5.51,1.284,9.02,114.69,1.35,58.05,13.26,28.69
SL_SOIL_00909,Trincomalee,8.51585,81.133496,Dry Zone,Alfisols,6.92,0.957,9.39,129.06,0.92,66.26,12.64,21.1
SL_SOIL_00910,Vavuniya,8.679639,80.676258,Dry Zone,Alfisols,6.58,1.153,11.64,143.08,1.39,53.05,18.25,28.7
SL_SOIL_00911,Mullaitivu,9.22815,80.58778,Dry Zone,Alfisols,7.09,0.669,12.77,138.68,0.91,61.69,14.29,24.01
SL_SOIL_00912,Hambantota,6.256952,81.065851,Dry Zone,Alfisols,5.99,0.888,6.09,89.45,1.04,63.45,7.42,29.13
SL_SOIL_00913,Kegalle,7.2398,80.242395,Wet Zone,Ultisols,5.32,1.371,12.34,106.96,1.36,45.81,29.08,25.1
SL_SOIL_00914,Batticaloa,7.624203,81.410877,Dry Zone,Vertisols,6.5,0.811,14.22,153.67,1.35,61.6,22.4,15.99
SL_SOIL_00915,Kegalle,7.091292,80.346512,Wet Zone,Ultisols,4.93,1.242,9.65,148.41,2.23,46.44,35.18,18.38
SL_SOIL_00916,Badulla,6.808851,81.047696,Up Country Intermediate Zone,Inceptisols,5.51,1.7,13.11,140.46,2.13,49.06,35.25,15.68
SL_SOIL_00917,Batticaloa,7.689723,81.50288,Dry Zone,Vertisols,7.04,1.085,17.14,141.68,0.83,62.63,26.46,10.91
SL_SOIL_00918,Ratnapura,6.612018,80.508922,Wet Zone,Ultisols,4.64,1.816,17.59,135.93,3.07,44.11,30.51,25.38
SL_SOIL_00919,Kilinochchi,9.344141,80.424918,Dry Zone,Alfisols,7.21,1.049,6.54,154.77,1.23,68.51,21.84,9.65
SL_SOIL_00920,Ampara,7.047301,81.725789,Dry Zone,Vertisols,5.76,1.277,19.89,160.47,1.41,51.6,20.9,27.49
SL_SOIL_00921,Trincomalee,8.59215,80.744274,Dry Zone,Alfisols,6.78,0.887,10.19,160.15,1.51,58.05,23.63,18.32
SL_SOIL_00922,Kandy,7.413555,80.57048,Wet Zone,Ultisols,5.37,1.369,19.26,128.78,2.26,39.48,34.4,26.12
SL_SOIL_00923,Colombo,6.886164,79.901519,Wet Zone,Ultisols,5.9,1.448,21.67,140.24,1.96,56.15,30.63,13.22
SL_SOIL_00924,Matara,5.958158,80.651496,Wet Zone,Ultisols,5.46,1.222,14.68,132.29,2.02,64.55,29.97,5.48
SL_SOIL_00925,Trincomalee,8.439736,81.095265,Dry Zone,Alfisols,7.01,0.986,14.36,154.36,1.12,70.05,13.88,16.06
SL_SOIL_00926,Kalutara,6.593797,80.27831,Wet Zone,Ultisols,4.9,1.593,13.37,141.91,1.94,46.36,35.83,17.81
SL_SOIL_00927,Anuradhapura,8.095763,80.665834,Dry Zone,Alfisols,6.15,1.214,14.49,133.08,1.38,69.44,19.19,11.38
SL_SOIL_00928,Batticaloa,7.81864,81.472621,Dry Zone,Vertisols,6.75,1.036,14.07,143.74,1.05,71.39,22.52,6.09
SL_SOIL_00929,Batticaloa,7.738421,81.187341,Dry Zone,Vertisols,7.15,1.084,9.13,163.63,1.06,56.56,20.24,23.19
SL_SOIL_00930,Ratnapura,6.790069,80.552104,Wet Zone,Ultisols,4.85,1.55,14.84,115.55,2.51,42.16,28.7,29.14
SL_SOIL_00931,Badulla,6.996659,80.953336,Up Country Intermediate Zone,Inceptisols,5.01,1.53,20.42,154.14,2.93,53.02,33.08,13.9
SL_SOIL_00932,Vavuniya,8.919896,80.559033,Dry Zone,Alfisols,7.06,1.075,14.75,146.4,1.77,66.4,13.95,19.65
SL_SOIL_00933,Monaragala,6.619245,81.03882,Intermediate Zone,Alfisols,5.59,0.904,10.6,125.39,1.6,62.54,21.28,16.18
SL_SOIL_00934,Vavuniya,8.786253,80.699868,Dry Zone,Alfisols,5.94,0.633,7.08,141.53,0.83,63.17,27.07,9.77
SL_SOIL_00935,Ratnapura,6.617238,80.657049,Wet Zone,Ultisols,5.08,1.648,17.01,128.93,3.03,40.17,38.43,21.4
SL_SOIL_00936,Gampaha,7.111043,80.048469,Wet Zone,Ultisols,5.7,1.269,13.25,112.21,1.84,61.6,25.71,12.69
SL_SOIL_00937,Mullaitivu,9.370933,80.836537,Dry Zone,Alfisols,6.81,0.781,10.09,170.07,0.67,70.8,19.01,10.19
SL_SOIL_00938,Vavuniya,8.72818,80.379495,Dry Zone,Alfisols,6.76,0.988,10.93,138.18,1.12,55.59,22.13,22.28
SL_SOIL_00939,Ratnapura,6.878341,80.734814,Wet Zone,Ultisols,5.06,1.499,18.97,124.66,2.71,43.69,36.51,19.81
SL_SOIL_00940,Puttalam,7.873296,79.890684,Dry Zone,Alfisols,6.61,0.897,11.53,127.66,0.99,73.32,17.69,8.99
SL_SOIL_00941,Galle,5.977883,80.276039,Wet Zone,Ultisols,5.48,1.63,21.67,130.08,2.12,45.49,37.8,16.71
SL_SOIL_00942,Kalutara,6.510653,80.119366,Wet Zone,Ultisols,5.69,1.108,13.58,129.7,1.53,54.63,35.5,9.87
SL_SOIL_00943,Batticaloa,7.642794,81.392137,Dry Zone,Vertisols,7.16,1.365,9.99,152.21,1.75,65.77,16.21,18.03
SL_SOIL_00944,Monaragala,7.233903,81.095786,Intermediate Zone,Alfisols,5.3,0.919,6.16,145.57,1.38,63.99,17.4,18.62
SL_SOIL_00945,Vavuniya,8.828048,80.345161,Dry Zone,Alfisols,6.78,0.742,14.96,154.12,1.28,59.94,27.2,12.86
SL_SOIL_00946,Kilinochchi,9.646558,80.649927,Dry Zone,Alfisols,6.6,0.934,9.9,153.76,1.26,71.0,19.19,9.82
SL_SOIL_00947,Batticaloa,7.894728,81.404247,Dry Zone,Vertisols,6.62,0.975,18.3,145.74,1.33,60.29,33.48,6.23
SL_SOIL_00948,Mullaitivu,9.282007,80.595582,Dry Zone,Alfisols,7.25,0.719,11.54,140.01,1.14,52.64,17.27,30.09
SL_SOIL_00949,Kurunegala,7.429688,80.31319,Intermediate Zone,Alfisols,6.2,0.868,10.69,132.63,0.75,52.38,31.7,15.92
SL_SOIL_00950,Nuwara Eliya,7.03084,80.745422,Up Country Wet Zone,Inceptisols,5.41,1.771,16.45,144.11,3.75,38.78,37.42,23.8
SL_SOIL_00951,Kalutara,6.660624,80.215291,Wet Zone,Ultisols,5.17,1.244,16.14,125.49,1.91,56.11,26.66,17.24
SL_SOIL_00952,Puttalam,7.973974,79.850632,Dry Zone,Alfisols,6.74,0.535,14.11,118.02,0.8,62.54,10.08,27.38
SL_SOIL_00953,Batticaloa,7.997374,81.342728,Dry Zone,Vertisols,6.63,0.698,16.24,158.08,0.43,56.36,31.42,12.23
SL_SOIL_00954,Kegalle,7.277243,80.293118,Wet Zone,Ultisols,4.73,1.476,11.75,119.62,2.41,43.65,26.61,29.75
SL_SOIL_00955,Monaragala,6.749439,81.543521,Intermediate Zone,Alfisols,5.49,0.58,13.45,137.68,1.21,57.53,16.07,26.4
SL_SOIL_00956,Matale,7.770155,80.717541,Intermediate Zone,Alfisols,5.69,1.127,12.31,109.26,1.6,53.55,21.75,24.7
SL_SOIL_00957,Jaffna,9.594631,80.028404,Dry Zone,Alfisols,7.59,0.88,13.29,156.26,1.16,69.06,13.08,17.86
SL_SOIL_00958,Galle,6.09432,80.269097,Wet Zone,Ultisols,5.02,1.439,20.83,126.71,1.7,45.93,25.03,29.03
SL_SOIL_00959,Kegalle,7.134643,80.501305,Wet Zone,Ultisols,5.14,1.276,21.23,141.57,2.1,48.46,27.74,23.8
SL_SOIL_00960,Trincomalee,8.531596,80.970486,Dry Zone,Alfisols,6.42,0.873,9.62,131.01,1.28,71.02,16.21,12.77
SL_SOIL_00961,Galle,6.056902,80.304834,Wet Zone,Ultisols,4.86,1.53,13.39,132.64,2.19,49.91,30.48,19.61
SL_SOIL_00962,Badulla,6.955593,81.161415,Up Country Intermediate Zone,Inceptisols,5.04,1.166,8.41,139.8,2.02,44.54,38.44,17.03
SL_SOIL_00963,Mannar,8.969662,80.054926,Dry Zone,Alfisols,7.53,0.655,8.8,178.05,0.71,67.33,13.3,19.38
SL_SOIL_00964,Kegalle,7.092779,80.265562,Wet Zone,Ultisols,5.06,1.61,22.88,138.18,2.13,42.13,31.13,26.75
SL_SOIL_00965,Trincomalee,8.45141,81.30349,Dry Zone,Alfisols,6.6,1.062,14.16,132.51,1.18,55.92,17.81,26.26
SL_SOIL_00966,Mullaitivu,9.113154,80.730232,Dry Zone,Alfisols,6.62,0.925,14.02,154.91,1.27,63.9,21.49,14.61
SL_SOIL_00967,Anuradhapura,8.131908,80.600254,Dry Zone,Alfisols,6.26,0.941,21.7,128.98,0.94,80.72,13.57,5.71
SL_SOIL_00968,Kegalle,7.322174,80.292388,Wet Zone,Ultisols,5.08,1.091,14.59,113.59,1.83,54.69,35.22,10.09
SL_SOIL_00969,Kandy,7.377864,80.579527,Wet Zone,Ultisols,5.21,1.438,14.76,144.75,2.08,41.29,34.68,24.03
SL_SOIL_00970,Jaffna,9.778205,79.724122,Dry Zone,Alfisols,7.61,0.568,6.91,163.07,0.65,70.29,10.36,19.35
SL_SOIL_00971,Kalutara,6.652133,80.195669,Wet Zone,Ultisols,5.93,1.348,12.87,115.78,0.82,49.39,21.39,29.22
SL_SOIL_00972,Hambantota,6.017171,80.60969,Dry Zone,Alfisols,6.63,1.012,6.33,95.24,1.45,66.24,13.28,20.48
SL_SOIL_00973,Mullaitivu,9.298369,80.794343,Dry Zone,Alfisols,6.96,0.826,12.11,135.91,0.98,70.61,12.6,16.79
SL_SOIL_00974,Kurunegala,7.911104,80.302148,Intermediate Zone,Alfisols,6.59,1.028,16.18,110.79,0.92,61.32,22.67,16.01
SL_SOIL_00975,Batticaloa,7.594889,81.510425,Dry Zone,Vertisols,6.62,1.069,11.8,140.76,1.37,67.27,22.54,10.19
SL_SOIL_00976,Kandy,7.290242,80.706694,Wet Zone,Ultisols,4.6,1.513,10.77,131.81,2.13,55.91,37.45,6.65
SL_SOIL_00977,Batticaloa,7.842595,81.016191,Dry Zone,Vertisols,6.7,1.174,17.73,138.11,1.49,69.85,19.68,10.47
SL_SOIL_00978,Badulla,7.104758,80.884856,Up Country Intermediate Zone,Inceptisols,5.24,1.367,15.71,150.72,1.9,51.62,39.77,8.6
SL_SOIL_00979,Gampaha,7.210402,79.889771,Wet Zone,Ultisols,6.0,1.254,13.6,118.52,2.19,57.63,15.82,26.55
SL_SOIL_00980,Batticaloa,7.643502,81.546283,Dry Zone,Vertisols,6.89,0.889,7.6,150.56,0.84,60.72,23.09,16.2
SL_SOIL_00981,Matara,6.073497,80.534212,Wet Zone,Ultisols,5.46,1.252,14.5,143.66,1.51,48.68,21.76,29.55
SL_SOIL_00982,Matara,6.048016,80.585029,Wet Zone,Ultisols,5.5,1.333,17.54,122.72,3.11,50.52,40.39,9.1
SL_SOIL_00983,Trincomalee,8.644343,80.762014,Dry Zone,Alfisols,6.5,1.159,5.4,136.6,0.96,65.53,19.83,14.64
SL_SOIL_00984,Mannar,8.972841,79.96557,Dry Zone,Alfisols,7.09,0.79,11.41,150.73,0.87,69.8,7.01,23.19
SL_SOIL_00985,Puttalam,7.984074,79.799794,Dry Zone,Alfisols,6.72,1.095,7.97,121.56,0.88,63.06,12.45,24.49
SL_SOIL_00986,Jaffna,9.604548,79.922876,Dry Zone,Alfisols,7.71,0.515,14.59,165.36,0.93,66.51,20.23,13.26
SL_SOIL_00987,Hambantota,6.112073,80.760685,Dry Zone,Alfisols,6.18,0.862,12.84,124.62,1.55,62.36,12.31,25.33
SL_SOIL_00988,Matale,7.471279,80.562392,Intermediate Zone,Alfisols,5.66,1.524,11.09,121.33,1.99,72.03,18.04,9.93
SL_SOIL_00989,Nuwara Eliya,7.025487,80.892484,Up Country Wet Zone,Inceptisols,4.1,1.644,14.59,130.88,2.31,34.21,42.59,23.2
SL_SOIL_00990,Anuradhapura,8.030166,80.481626,Dry Zone,Alfisols,5.82,0.645,9.81,110.35,0.47,66.39,15.79,17.82
SL_SOIL_00991,Gampaha,7.031474,79.985836,Wet Zone,Ultisols,5.31,0.932,12.49,134.78,1.62,57.77,13.87,28.37
SL_SOIL_00992,Ratnapura,6.636939,80.64152,Wet Zone,Ultisols,5.06,1.381,14.73,125.52,2.35,47.61,43.29,9.09
SL_SOIL_00993,Mullaitivu,9.08977,80.730625,Dry Zone,Alfisols,7.69,0.997,11.33,153.96,1.12,64.95,22.52,12.53
SL_SOIL_00994,Nuwara Eliya,7.058096,80.816949,Up Country Wet Zone,Inceptisols,4.63,2.054,16.03,171.85,4.0,43.99,39.53,16.49
SL_SOIL_00995,Matale,7.533029,80.833467,Intermediate Zone,Alfisols,5.44,1.458,14.1,126.98,1.76,55.36,23.66,20.98
SL_SOIL_00996,Kegalle,7.275708,80.477445,Wet Zone,Ultisols,4.55,1.235,22.87,125.86,2.1,49.49,28.48,22.03
SL_SOIL_00997,Colombo,6.910947,79.858405,Wet Zone,Ultisols,5.27,1.254,10.14,105.22,1.78,50.38,21.86,27.76
SL_SOIL_00998,Polonnaruwa,8.050928,80.819402,Dry Zone,Vertisols,5.86,0.944,20.71,149.39,0.93,60.96,27.64,11.4
SL_SOIL_00999,Badulla,6.964284,81.143402,Up Country Intermediate Zone,Inceptisols,5.29,1.78,21.55,132.17,2.75,53.96,28.57,17.47
SL_SOIL_01000,Polonnaruwa,8.081123,81.091362,Dry Zone,Vertisols,5.93,0.978,13.15,152.79,1.25,58.07,24.4,17.52
SL_SOIL_01001,Nuwara Eliya,6.873898,80.760163,Up Country Wet Zone,Inceptisols,4.46,1.378,21.03,146.31,3.54,45.68,41.01,13.32
SL_SOIL_01002,Nuwara Eliya,6.924923,80.722248,Up Country Wet Zone,Inceptisols,4.82,1.727,24.03,144.83,2.79,36.46,35.57,27.96
SL_SOIL_01003,Monaragala,7.184468,81.215174,Intermediate Zone,Alfisols,5.74,1.199,9.83,136.57,1.29,68.4,20.32,11.28
SL_SOIL_01004,Ampara,7.222998,81.771316,Dry Zone,Vertisols,7.08,0.928,14.72,129.59,1.22,59.61,33.44,6.95
SL_SOIL_01005,Kandy,7.288766,80.745595,Wet Zone,Ultisols,5.7,1.333,14.49,159.93,2.32,49.95,26.97,23.08
SL_SOIL_01006,Kilinochchi,9.45092,80.42359,Dry Zone,Alfisols,6.83,0.898,13.62,170.86,1.2,67.04,21.67,11.3
SL_SOIL_01007,Ratnapura,6.836599,80.5537,Wet Zone,Ultisols,5.62,1.599,18.03,134.73,2.6,42.6,40.24,17.16
SL_SOIL_01008,Monaragala,7.204667,81.073972,Intermediate Zone,Alfisols,5.76,1.105,15.72,156.81,1.18,70.32,24.14,5.55
SL_SOIL_01009,Hambantota,6.154308,81.038571,Dry Zone,Alfisols,6.7,0.852,9.98,122.77,1.23,67.89,20.06,12.05
SL_SOIL_01010,Monaragala,7.074012,81.352216,Intermediate Zone,Alfisols,6.21,1.209,13.27,138.5,1.15,67.18,23.23,9.59
SL_SOIL_01011,Kalutara,6.432225,79.969474,Wet Zone,Ultisols,5.28,1.156,24.28,132.45,2.09,56.96,31.41,11.63
SL_SOIL_01012,Puttalam,7.721181,79.828985,Dry Zone,Alfisols,6.71,0.946,12.59,120.07,1.1,77.48,11.89,10.63
SL_SOIL_01013,Matara,5.983804,80.473866,Wet Zone,Ultisols,5.32,1.181,16.29,138.01,2.39,63.91,24.96,11.12
SL_SOIL_01014,Matale,7.638752,80.827462,Intermediate Zone,Alfisols,5.21,1.345,17.55,133.01,1.82,56.81,33.58,9.61
SL_SOIL_01015,Kandy,7.202627,80.702335,Wet Zone,Ultisols,5.47,1.562,10.95,142.57,2.12,46.18,25.35,28.47
SL_SOIL_01016,Ratnapura,6.641746,80.494616,Wet Zone,Ultisols,5.15,1.695,13.57,134.52,2.06,38.5,45.5,16.0
