N,P,K,temperature,humidity,ph,rainfall
76,26,68,29.147,78.884,6.529,1360.505
60,28,42,22.356,59.184,6.748,606.782
57,36,43,21.343,60.493,6.739,501.212
85,69,140,19.455,57.536,5.876,1112.749
61,63,28,22.9,63.2,5.6,86.3
68,52,84,25.466,77.729,6.219,1087.719
31,30,25,28.625,50.41,5.592,569.664
37,33,33,25.983,61.843,7.059,550.459
74,48,110,27.295,76.398,5.88,943.409
47,48,116,28.137,67.86,5.195,864.654
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436
73,34,37,24.109,71.261,6.033,748.777
32,46,40,29.864,57.774,6.812,622.609
38,27,60,20.9,59.0,7.2,125.4
76,45,97,26.525,76.759,5.815,824.707
86,54,38,28.0,61.0,6.8,55.7
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218
66,45,44,31.6,77.0,6.2,72.7
72,55,43,22.533,53.359,6.234,602.14
82,55,20,30.139,69.765,6.404,57.183
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471
33,27,44,26.778,71.139,6.187,701.035
84,31,40,22.518,63.389,6.97,475.247
63,54,122,29.91,73.324,5.517,1151.431
88,59,25,25.9,74.6,6.7,144.6
41,34,31,25.026,64.122,5.87,612.837
19,53,22,27.8640132,80.4513142,6.852884642999999,42.83053902
11,60,23,27.33684386,88.50229102,7.033012777000001,51.09802625
56,28,40,22.8,71.5,6.6,126.9
23,33,42,26.281,61.525,6.641,451.141
70,48,56,24.22,55.126,5.981,822.565
52,26,23,29.752,45.389,6.928,597.117
51,41,28,25.938,62.027,7.199,631.579
106,90,158,17.334,70.307,6.339,588.845
60,62,50,26.8,69.9,5.6,95.3
32,55,21,20.706,61.383,6.099,541.3
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246
40,34,22,29.95,59.674,6.491,514.901
35,27,42,29.765,64.15,6.023,729.636
56,39,130,27.615,69.206,6.112,1127.93
62,42,38,28.8,56.0,6.6,70.1
69,36,87,29.178,77.509,5.914,1155.67
66,44,20,19.0781471,69.02298571,6.740000687999999,80.72515943
28,25,27,27.869,54.656,7.526,666.598
74,40,86,26.796,80.593,6.261,799.132
44,24,34,24.694,52.732,6.574,738.716
54,42,119,21.779,72.65,6.082,1062.489
38,37,38,22.136,59.632,6.007,584.496
26,30,32,27.011,60.056,6.307,816.956
21,43,39,27.776,61.887,6.741,878.391
47,35,37,25.924,61.517,5.651,467.625
79,73,123,18.693,71.534,5.871,1035.207
69,38,30,28.284,63.726,7.094,75.697
63,48,32,25.306,74.609,6.387,100.802
75,42,101,26.943,62.629,6.536,1258.177
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791
57,41,44,20.8,67.2,6.2,143.8
57,44,26,26.3,64.0,6.3,123.7
44,55,121,30.439,75.253,5.538,849.608
23,59,25,27.826262300000003,88.73100226,6.320768488,56.68833819
52,37,31,28.516,45.248,6.664,490.55
42,31,33,30.19,55.407,7.383,544.014
55,23,27,27.209,49.369,6.106,515.216
60,50,37,20.918,42.065,6.658,672.109
35,39,30,29.481,65.502,6.441,802.259
37,37,78,22.602,70.38,5.732,915.197
55,43,48,25.8,60.0,6.7,121.5
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654
64,64,102,25.568,68.041,6.15,1240.071
34,25,41,31.821,71.637,6.265,519.651
44,48,39,24.2,56.0,6.2,83.0
66,29,33,18.172,51.79,6.316,476.459
74,58,18,20.03728219,56.35606753,6.727303282,109.024141
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071
51,39,39,26.626,60.137,6.82,731.545
71,29,35,15.705,50.378,6.68,495.725
89,80,95,21.717,65.094,6.101,784.246
48,35,81,28.485,83.29,5.257,1511.477
40,26,39,22.4,75.4,5.9,137.7
37,42,31,28.334,58.789,6.9,664.343
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467
79,45,20,23.80546189,59.24537979,5.715208817000001,89.96220140000001
37,39,39,30.914,63.815,6.793,583.437
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307
50,57,45,28.652,66.901,5.753,110.521
86,57,38,22.694,57.107,5.742,45.337
35,30,41,33.064,53.774,6.505,558.157
76,54,33,24.6,66.1,6.0,141.8
87,28,105,28.197,82.372,5.558,1347.933
40,31,30,28.842,48.381,5.753,588.657
99,104,134,18.126,74.42,5.933,948.519
40,38,28,27.136,46.828,5.648,555.723
40,51,17,28.66086349,86.12194568,6.860602782000001,50.01534317
60,47,21,27.585,71.866,6.099,137.339
48,31,27,25.449,67.771,7.245,684.11
63,61,87,27.391,80.356,6.337,1253.033
54,24,40,25.027,62.365,5.941,490.664
50,30,18,25.82,48.306,6.067,449.253
69,32,41,20.2,82.8,6.0,55.1
51,26,28,30.962,64.62,6.868,440.007
48,33,42,20.677,62.786,6.715,849.733
59,47,113,25.778,69.331,5.477,732.823
48,42,21,28.63,57.837,6.734,731.941
22,31,30,27.725,51.773,6.978,404.718
25,42,33,26.922,59.192,6.244,621.168
34,32,29,26.468,63.873,6.081,819.785
52,42,38,21.5,75.6,6.0,64.4
86,38,22,21.9,58.2,6.2,72.7
29,39,23,26.495,50.603,5.327,664.865
1,59,23,27.46852989,87.17649,7.184398832,43.78420984
44,29,37,20.747,63.629,6.909,148.985
49,40,126,31.337,83.217,6.091,1331.806
61,52,45,20.9,68.4,6.3,61.3
34,59,23,28.56212158,83.24855855,6.935804256,56.48265193
87,35,25,25.962,78.406,5.887,141.055
76,28,38,23.718,57.14,7.04,673.519
73,48,80,29.097,74.672,5.819,839.401
56,39,42,28.307,61.635,7.056,409.935
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854
36,27,56,26.3,77.3,7.1,147.4
41,39,37,28.73,60.469,6.399,610.312
61,45,22,25.72,68.689,5.656,64.298
29,43,30,22.265,69.605,6.265,787.092
34,40,35,27.303,57.127,6.904,884.314
48,30,45,30.718,62.19,7.653,676.601
25,31,35,23.918,62.914,5.859,613.891
55,55,101,27.733,73.446,6.014,1289.408
53,42,36,26.327,43.421,6.215,601.303
37,30,22,26.631,48.428,6.49,738.813
45,33,29,28.119,45.447,5.978,623.6
30,54,43,27.746,61.577,6.882,669.618
44,44,25,20.6,83.4,6.0,115.5
51,28,31,29.723,57.595,6.434,753.661
48,31,89,21.001,67.124,6.299,957.831
129,94,128,21.218,70.955,5.76,971.906
43,51,48,20.829,62.089,5.555,128.86
45,37,25,27.269,52.623,5.424,733.631
29,38,25,28.381,61.605,6.184,745.439
105,71,115,16.674,61.102,5.466,793.379
61,55,48,25.6,76.0,7.0,64.2
86,38,22,22.012,58.375,6.008,76.964
28,34,21,22.519,72.35,6.049,621.933
70,26,51,23.981,53.113,6.558,814.448
43,24,23,28.444,56.552,6.536,519.578
34,45,24,30.765,59.07,6.111,551.708
71,33,27,30.462,49.327,6.587,514.352
54,46,41,22.2,61.5,5.7,50.1
46,53,40,28.488,73.45,5.542,144.572
28,43,43,25.68,55.871,6.336,558.359
57,59,31,27.0,61.6,7.0,127.9
68,57,50,20.738,63.553,6.092,505.079
29,29,30,30.206,61.57,7.167,575.208
78,61,92,28.105,71.915,6.491,1502.998
50,41,36,26.365,68.042,6.95,800.736
98,83,131,17.516,73.337,5.905,949.645
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366
53,34,117,25.091,72.144,6.289,1149.637
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194
31,47,34,30.4,77.4,7.3,78.1
37,25,41,25.841,59.279,6.838,503.806
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741
44,23,30,29.543,70.909,7.349,680.801
107,87,99,19.428,73.406,5.72,1000.497
28,34,29,20.585,70.635,6.22,502.445
39,47,41,27.895,54.707,6.942,720.493
44,20,48,27.253,49.882,7.068,470.579
40,38,33,27.9,79.9,5.5,78.6
49,40,34,24.3,65.5,6.9,110.6
42,24,28,26.365,46.734,6.838,435.676
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213
41,25,33,31.012,47.514,6.509,562.657
36,23,39,30.403,63.608,5.661,751.941
72,39,98,25.832,86.721,5.745,1540.508
39,25,37,31.198,61.453,6.92,492.741
43,41,72,23.857,71.53,6.145,1088.426
37,25,35,29.946,51.476,7.394,366.41
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116
43,28,23,25.343,53.236,6.36,651.717
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033
74,36,23,29.2,60.8,5.6,105.5
28,21,34,32.221,54.098,6.849,648.024
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098
47,57,104,29.306,79.18,6.67,1265.361
78,27,45,21.5,59.5,6.4,137.5
82,54,21,22.8,63.4,5.8,81.4
29,29,27,27.38,56.787,6.74,393.142
60,33,108,26.533,64.385,6.245,693.947
101,86,127,21.022,78.913,5.972,970.826
67,49,72,28.472,69.227,5.581,1577.549
57,28,31,27.916,45.461,6.883,538.783
27,36,29,29.794,51.566,6.183,693.322
20,50,50,27.262,55.092,6.238,866.213
31,29,31,30.189,63.409,6.943,556.0
26,27,42,25.789,65.378,6.322,672.333
18,43,17,24.789,47.014,6.006,461.368
79,28,42,20.938,72.003,6.101,84.786
65,35,29,26.644,63.715,5.663,61.356
55,60,39,26.4,84.3,5.9,89.2
38,24,28,29.51,50.814,6.906,595.587
53,53,48,23.5,72.1,6.1,122.1
106,105,98,17.416,64.566,5.999,730.499
35,51,28,26.825,55.505,6.323,496.597
38,39,37,29.654,64.222,7.015,728.563
125,79,110,21.948,66.984,6.013,908.777
60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667
54,32,30,25.632,46.483,7.458,657.51
45,28,20,24.812,64.739,6.372,528.34
98,88,91,19.57,77.686,5.744,921.136
112,106,96,20.948,76.517,5.305,1082.248
25,38,38,31.703,57.361,6.937,447.853
0,49,18,29.68361658,87.93598094,6.990095452,41.82490236
54,43,27,25.865,47.769,7.534,459.133
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554
47,37,28,25.931,64.15,6.407,768.603
44,40,35,28.684,57.202,7.446,692.734
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111
40,30,38,25.392,54.977,6.61,628.096
38,29,18,28.359,46.956,6.217,414.627
62,41,41,24.2,69.0,5.8,153.6
64,42,20,25.6,70.8,5.7,64.0
51,20,28,28.596,64.009,6.258,565.453
38,31,34,27.085,51.314,6.807,503.433
38,42,36,25.924,42.058,7.206,653.546
45,36,29,29.335,46.048,5.747,633.315
37,25,33,27.102,67.757,5.233,527.321
33,31,35,27.762,68.213,7.314,694.727
37,41,17,26.783,54.413,6.765,610.709
34,33,31,31.527,52.009,6.248,455.308
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144
40,31,43,28.623,56.1,6.688,494.692
25,45,33,27.732,51.4,5.989,721.115
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262
66,39,44,24.706,60.574,5.877,506.832
65,26,34,29.532,43.949,6.393,581.684
123,85,170,21.435,59.975,5.58,1032.782
27,46,27,27.001,51.489,6.458,679.209
53,30,25,24.609,54.731,6.477,492.421
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393
44,45,44,20.3,65.9,5.8,90.9
47,19,28,29.28,63.441,6.809,764.512
52,41,39,21.11,74.276,6.015,69.05
31,23,33,30.013,52.261,6.574,594.837
35,39,26,30.698,69.049,6.463,683.607
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026
78,44,62,24.004,66.493,5.086,893.328
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821
47,35,46,29.3,79.3,6.9,63.4
39,28,41,28.625,51.594,5.265,642.591
21,39,20,28.14448546,82.1193047,7.064782137999999,46.75690086
32,57,22,28.6899851,87.50436797,6.769415887999999,44.56598352
46,37,39,28.945,62.668,6.198,413.606
78,42,113,25.998,57.141,5.674,860.828
73,38,44,17.748,52.497,6.756,609.099
23,35,39,30.993,60.914,6.299,844.754
90,43,33,23.9,57.0,6.6,93.4
47,45,37,30.1,70.6,7.2,108.0
32,39,23,25.016,55.654,6.525,643.726
74,58,39,25.191,41.769,6.911,602.167
31,37,21,27.23924995,86.404241,6.713410626,37.31236904
77,39,79,24.408,74.873,5.305,1203.024
24,27,37,27.892,57.231,6.473,493.303
36,43,27,22.4,81.6,7.1,95.4
28,38,42,30.134,59.915,6.286,849.113
76,55,32,24.354,65.085,6.019,139.254
32,38,25,26.055,56.474,6.647,618.391
46,45,20,24.7,68.1,6.6,129.9
46,56,118,30.255,82.479,5.972,891.003
55,60,46,22.3,56.5,5.9,79.4
47,25,43,30.119,46.506,6.924,559.471
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726
52,28,30,25.849,54.021,5.6,814.164
78,55,73,26.784,75.555,5.647,1246.512
25,34,35,26.458,65.258,5.649,456.253
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236
54,40,37,25.85,54.842,6.397,634.114
52,34,30,27.596,58.701,7.3,511.558
35,34,43,24.883,55.7,6.514,446.911
57,53,119,28.661,71.775,6.33,1253.358
37,34,22,28.345,54.652,7.472,689.692
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135
37,26,39,26.292,56.735,6.628,674.002
64,45,119,26.768,65.858,5.41,1274.092
60,31,36,29.971,60.518,7.011,750.19
54,20,35,24.87,54.61,6.471,581.118
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467
69,29,58,22.0,73.8,6.2,133.4
125,96,95,18.082,57.781,5.67,843.732
39,32,31,27.638,58.149,6.385,450.331
71,54,85,24.684,66.087,5.784,1291.984
29,38,23,25.239,53.183,6.123,491.183
55,39,35,29.46,66.115,7.12,646.076
60,50,57,20.1,60.4,7.3,121.4
55,30,24,25.1,65.1,6.2,61.9
80,28,27,25.9,57.4,6.4,67.1
84,50,36,22.194,58.742,6.134,490.902
61,36,27,28.844,51.507,7.265,556.618
65,26,45,19.907,51.58,6.538,699.679
33,63,42,31.9,78.1,5.7,135.3
33,22,34,25.139,65.307,6.11,526.613
86,101,126,21.219,55.947,5.832,971.892
30,36,37,27.954,68.605,6.384,602.959
56,25,27,26.263,48.773,6.313,646.613
35,36,31,31.979,52.78,7.161,496.146
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368
120,81,134,21.368,73.58,5.255,783.736
85,28,42,22.6,78.4,5.9,62.3
55,58,20,22.3,58.3,6.5,62.2
59,26,30,29.838,63.027,6.515,565.581
79,36,126,25.932,68.981,6.204,950.709
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325
29,36,34,26.435,54.197,6.901,350.219
62,64,45,21.7,84.2,7.3,169.8
103,66,113,17.576,57.864,5.579,731.845
52,34,45,26.061,54.631,7.167,591.63
39,34,71,29.44,69.009,5.913,930.21
82,33,40,22.848,63.455,6.304,716.062
60,40,85,26.51,76.856,5.484,740.802
57,40,37,21.874,70.556,7.229,402.652
30,39,33,29.172,44.722,6.756,709.038
61,34,38,28.258,50.925,6.57,554.155
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911
70,32,35,27.265,41.783,7.595,490.182
34,50,22,26.109,58.709,7.159,898.232
23,30,40,27.118,60.736,6.926,480.047
29,36,25,28.28511547,88.4393979,7.130278657000001,48.56690235
61,44,38,27.015,70.686,5.976,133.277
38,37,37,27.735,58.154,6.358,397.133
86,34,42,24.5,61.8,5.6,140.3
142,68,142,17.924,60.008,5.86,722.566
69,31,87,23.555,62.467,5.778,1052.512
43,25,34,30.474,53.059,6.227,453.969
66,50,35,17.752,64.177,5.919,529.694
42,34,20,29.392,58.698,6.016,559.36
23,48,39,24.634,62.336,6.943,728.486
69,32,43,29.021,42.95,7.066,693.614
50,42,31,30.2,68.4,6.0,148.7
69,43,50,27.6,77.3,6.6,111.9
34,30,26,29.2,79.0,6.7,161.4
98,50,114,26.079,68.95,5.623,1171.44
45,40,32,25.6,83.3,7.0,78.0
91,47,33,17.501,62.157,6.363,637.933
89,28,35,22.821,76.3,6.352,86.113
34,53,24,28.329,67.785,6.695,607.978
53,47,26,25.7,70.0,6.7,170.6
65,18,43,27.779,48.746,5.709,576.874
68,30,102,29.338,80.539,6.232,1419.11
72,38,54,22.5,57.7,5.7,59.3
43,36,28,28.804,55.729,6.835,657.367
114,97,126,17.642,72.196,5.931,1051.525
123,64,150,20.786,80.653,6.179,910.116
45,28,25,26.098,60.855,6.493,538.077
48,44,17,25.021,66.835,6.72,123.212
31,35,31,25.296,72.877,5.741,424.311
91,42,33,23.567,58.423,6.661,93.313
70,42,38,21.236,60.649,6.701,658.231
53,24,45,29.93,42.145,6.392,583.756
77,79,153,18.04,70.137,5.294,748.91
124,89,107,20.962,63.511,5.089,761.955
58,38,94,28.773,76.051,6.211,1452.679
53,40,103,29.02,73.86,5.526,1717.781
85,39,125,27.372,70.006,6.53,1392.213
61,55,114,25.886,71.843,6.278,887.725
57,44,57,25.2,78.0,7.1,90.1
41,31,32,24.914,51.11,7.031,412.429
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794
24,44,43,26.569,63.253,6.068,655.449
57,24,27,26.768,63.665,6.845,691.14
87,41,26,21.2,67.6,6.6,113.0
111,73,106,22.221,79.997,5.716,887.293
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999
43,23,25,29.722,45.462,5.681,593.154
23,39,33,25.185,70.661,6.201,472.258
69,27,33,20.6,81.0,6.1,130.5
59,34,70,28.873,70.944,5.457,1295.313
34,52,32,26.278,57.416,6.156,790.137
40,28,28,26.179,47.729,6.42,482.692
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823
34,57,41,28.93,57.832,5.819,752.868
70,51,40,22.5,82.5,7.2,160.3
71,45,53,26.171,66.682,6.447,744.434
29,21,27,27.174,59.981,6.29,692.312
31,34,23,29.767,61.405,6.045,398.256
53,50,83,26.59,77.343,5.194,877.161
52,20,28,23.296,67.867,6.222,643.656
20,58,46,25.156,72.14,6.469,838.127
87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762
55,25,33,24.839,49.586,6.547,490.01
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954
10,59,22,28.60901145,86.99495766,7.1556850160000005,36.94616965
39,40,20,30.62,66.196,5.877,456.928
40,63,35,27.983,59.206,6.126,55.658
42,32,29,29.351,46.924,7.257,409.094
45,20,39,30.525,57.593,6.974,600.054
85,44,24,26.8,73.6,7.0,82.6
36,23,21,25.612,53.113,6.312,444.264
57,50,60,27.602,70.344,5.98,1146.428
89,47,44,20.2,57.7,6.7,129.7
34,45,21,28.18837136,82.60629652,6.2873801170000005,37.01110438
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369
9,57,24,29.89232778,89.71503316,7.165121108999998,42.99498978
37,51,55,20.9,78.0,6.1,78.2
29,17,33,31.502,48.287,6.187,624.858
42,26,27,23.255,64.63,7.229,614.45
85,53,46,22.426,58.254,5.697,768.345
92,76,116,20.012,71.716,5.962,960.846
145,89,143,22.7,65.538,6.109,884.457
77,41,111,28.807,70.17,6.78,1276.365
42,38,103,25.565,60.739,6.096,985.284
49,24,34,28.587,50.97,7.119,495.476
75,44,45,23.661,51.473,6.604,570.892
29,51,39,29.689,58.481,6.725,631.678
79,90,104,21.523,69.436,5.624,616.563
35,30,33,31.472,55.719,7.602,572.51
23,39,37,25.951,60.474,6.404,561.494
38,49,40,23.883,73.003,5.836,560.319
54,38,34,29.061,62.401,6.693,440.973
44,64,39,25.1,81.4,6.0,166.2
39,35,20,28.654,68.907,6.495,551.79
43,28,24,25.604,55.918,6.357,689.971
59,43,32,32.604,55.484,6.9,599.052
111,86,101,22.466,73.058,5.755,526.859
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575
65,40,102,26.886,80.912,6.178,1122.355
91,77,118,18.284,65.681,5.374,646.171
47,30,103,24.41,70.512,6.525,872.391
25,48,21,28.438097,83.48991368,6.267684328,52.55469976
38,42,26,23.243,55.156,6.153,672.112
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139
31,23,32,29.287,70.403,5.751,517.304
42,32,28,27.8,79.3,6.3,64.4
29,47,35,30.851,65.19,7.024,613.493
28,24,37,24.996,53.873,6.965,802.856
41,25,20,22.984,72.522,6.16,544.36
37,29,27,27.2,54.037,5.406,694.513
35,32,30,27.044,54.779,6.322,641.741
56,57,22,22.313,57.999,6.558,56.243
115,75,123,18.163,62.58,5.417,836.804
49,41,36,31.653,63.626,6.167,601.422
64,31,57,27.9,76.7,6.7,173.9
70,24,50,20.057,54.581,5.805,716.363
24,29,25,28.589,61.384,7.178,462.07
79,36,31,28.669,67.327,5.999,113.882
48,27,34,26.768,52.676,6.363,499.994
42,37,23,31.359,52.164,6.112,409.627
81,41,42,21.841,60.082,6.699,652.767
45,35,28,31.294,53.253,7.129,468.452
40,33,38,21.2,64.1,6.9,149.5
104,86,161,20.077,64.94,5.489,864.393
47,30,35,31.2,73.2,6.9,142.8
30,24,30,23.059,59.958,6.467,515.595
99,102,144,21.948,64.654,5.772,693.574
67,29,31,24.3,71.3,6.8,95.4
8,54,20,28.3340432,80.77275974,7.034214276,38.7976407
47,28,40,27.718,58.005,5.779,654.755
38,37,65,23.726,61.904,5.937,1015.574
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694
18,48,49,23.228,60.894,6.965,843.349
113,95,138,21.005,77.119,6.072,619.423
56,39,53,28.529,74.447,6.963,139.231
74,45,36,22.764,48.276,6.329,622.399
68,33,30,32.481,52.017,5.865,551.984
87,77,146,20.604,66.859,5.388,667.608
62,45,47,29.2,67.6,6.3,130.0
54,27,41,27.209,66.277,6.413,109.832
35,34,36,29.974,50.304,6.939,653.68
9,48,20,29.66461594,84.28187572,6.377568542000001,56.09542002
88,91,106,17.277,69.62,5.778,779.601
30,31,28,26.667,57.864,5.99,667.037
61,34,87,29.411,69.285,6.414,1385.751
47,26,45,29.255,62.489,7.538,658.733
79,53,55,27.577,70.711,5.878,1625.921
57,50,88,27.644,78.972,5.549,960.422
24,29,25,29.386,43.046,6.494,461.388
29,31,36,25.944,61.185,6.121,579.649
27,44,35,24.668,70.019,6.064,891.794
57,57,47,21.862,55.552,5.9,79.102
70,60,85,26.92,63.777,5.174,902.706
111,86,158,20.714,70.362,5.669,668.657
17,47,45,30.699,50.048,6.363,790.308
91,88,117,17.28,65.159,5.98,910.926
54,38,33,26.739,59.658,5.482,616.411
76,38,33,27.647,56.08,7.465,610.141
38,39,26,27.408,59.62,5.944,686.244
45,33,35,24.412,53.542,5.928,595.966
30,28,20,28.939,67.678,5.749,733.684
99,65,128,19.133,68.184,5.892,643.459
46,36,35,27.832,52.356,6.524,569.508
74,57,24,28.562,70.17,6.772,80.543
58,31,119,22.522,66.904,6.477,1202.433
22,54,20,28.56149805,83.63802195,6.689825155,41.013132
63,43,19,18.51816776,55.53128131,6.641906353,90.988051
59,42,24,22.395,61.1,6.441,93.919
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397
33,39,40,26.731,70.478,6.641,879.758
23,40,37,27.562,49.756,6.548,881.645
79,55,29,19.927,74.39,6.584,117.465
64,28,99,25.231,72.088,5.267,1175.755
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162
58,37,38,23.76,59.089,6.851,636.962
29,35,32,26.44,57.61,6.129,783.148
41,34,124,27.248,78.251,5.863,952.922
48,39,54,24.055,48.277,6.004,614.746
6,37,17,28.08657178,80.35005927,6.760694227999999,38.14476781
46,52,33,28.092,59.659,5.948,117.855
63,20,30,32.567,46.665,7.274,561.719
50,32,16,27.771,43.36,6.678,458.341
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389
57,46,54,25.529,80.604,6.291,1112.161
67,26,28,28.5,55.6,6.4,133.7
65,46,97,27.152,78.149,6.471,1069.778
87,47,62,28.249,82.23,5.488,1064.188
18,31,51,23.202,66.538,6.866,785.67
30,20,29,23.62,59.686,6.119,734.29
61,38,28,28.895,57.334,6.26,712.181
43,33,39,24.203,54.545,5.428,510.034
62,32,39,24.498,51.175,6.829,606.145
67,30,89,24.803,74.194,6.149,1129.118
64,35,47,31.9,84.7,6.6,133.1
61,46,41,26.5,71.3,6.0,128.7
76,42,122,28.151,79.98,5.462,1306.625
22,43,26,28.917,53.755,6.441,530.413
27,34,32,22.98,58.424,6.582,690.173
4,44,19,27.95639663,83.52706038,6.921993877999999,43.25726752
51,22,35,28.076,49.209,6.784,576.496
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719
42,32,85,23.808,70.113,5.954,1160.122
64,35,33,16.927,50.33,7.047,712.815
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073
32,45,53,23.8,78.2,7.0,159.8
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216
45,50,92,20.938,66.213,5.719,957.495
59,44,69,28.529,71.527,6.077,1168.979
70,45,75,21.156,79.374,6.079,961.845
52,41,86,27.371,64.221,6.004,1167.947
35,31,43,25.3,68.3,5.6,154.4
6,48,24,28.6362812,84.61431076,6.790736339,48.48319335
38,25,18,25.568,55.899,5.85,483.438
33,47,35,29.246,68.474,7.15,520.105
43,34,31,30.828,54.953,7.753,591.472
51,37,100,24.287,64.426,6.563,1128.648
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457
68,39,75,22.409,73.772,6.376,1046.662
40,40,30,24.672,50.346,6.368,636.279
71,59,21,29.601,56.895,6.839,110.847
43,57,31,27.249,60.66,5.842,119.959
36,54,30,28.498,59.96,6.474,735.258
83,76,140,20.583,75.789,5.383,907.83
2,38,18,27.53632932,89.92908171,6.619891497999999,45.48591922
75,48,33,28.497,71.429,6.376,69.93
86,26,29,24.7,60.6,6.4,106.6
80,46,101,22.484,67.863,5.428,969.117
57,40,42,21.02,67.32,6.185,152.352
128,107,117,21.952,64.424,5.938,869.843
80,39,45,25.0,76.9,6.8,54.3
47,34,30,25.707,52.925,6.67,603.367
44,53,28,26.231,64.302,6.956,968.433
40,22,31,26.773,60.357,6.286,529.854
109,70,145,17.338,70.373,5.785,996.964
58,51,38,25.824,57.319,5.547,115.331
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055
99,106,131,21.062,71.301,5.787,895.978
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942
38,36,21,28.02952623,84.8845732,6.5563729660000005,36.12042927
58,44,39,30.223,61.377,7.244,653.782
130,85,140,21.338,71.561,6.026,923.174
53,27,91,23.903,71.44,6.082,1031.604
28,22,17,30.769,53.479,7.024,536.109
49,49,25,22.4,77.7,7.5,170.7
57,53,39,26.157,74.186,5.672,104.052
36,55,29,27.707,62.438,6.024,681.939
65,41,70,25.924,64.817,6.016,884.496
44,41,51,26.481,55.541,6.362,54.144
83,30,36,17.874,66.394,7.468,584.747
59,49,99,30.516,73.134,5.575,956.024
32,37,45,27.293,62.837,6.239,701.873
53,41,29,30.917,47.308,6.714,560.678
41,50,65,27.352,78.186,6.673,1122.696
70,45,80,27.991,66.407,5.647,1484.254
29,32,21,26.346,46.04,6.176,499.303
55,28,37,29.473,50.418,7.564,480.134
63,48,34,25.7,74.1,6.5,105.4
53,27,25,26.976,65.933,7.133,592.762
39,36,34,27.596,60.438,5.563,620.085
37,37,38,29.617,62.22,5.64,514.05
101,80,129,23.281,69.5,6.169,792.089
27,29,39,24.428,51.296,6.346,543.254
63,38,44,20.006,53.608,6.491,493.491
49,45,106,21.755,64.71,6.251,676.921
38,45,89,21.868,64.368,5.379,866.192
99,92,125,21.805,82.38,5.423,1042.182
25,21,31,29.784,48.739,6.423,527.156
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393
75,27,87,26.548,81.786,5.256,797.406
35,32,32,23.493,49.831,6.461,643.212
59,33,39,29.87,63.656,6.352,488.352
67,38,29,28.1,62.9,6.9,79.1
