District,Year,Season,total_area,total_production,n_crops,avg_yield
Trincomalee,2018,Maha,3484.42,65135.07,21,18.693231585170558
Trincomalee,2018,Yala,1341.65,26561.79,9,19.797853389483098
Trincomalee,2019,Maha,3526.9900000000002,61367.32,21,17.39934618470707
Trincomalee,2019,Yala,2259.1,44824.38,18,19.84169802133593
Trincomalee,2020,Maha,2815.37,60860.94,15,21.617385991894494
Trincomalee,2020,Yala,2205.5299999999997,46252.85,14,20.971308483675127
Trincomalee,2021,Maha,2041.83,30640.54,13,15.006410915698174
Trincomalee,2021,Yala,1228.81,23453.11,11,19.086034456099807
Trincomalee,2022,Maha,2946.94,46871.93,18,15.905288197248671
Trincomalee,2022,Yala,2983.86,55124.52,18,18.474231364742312
Trincomalee,2023,Maha,2416.18,46554.19,12,19.26768287130926
Trincomalee,2023,Yala,2545.26,53577.97,11,21.050097043131153
Trincomalee,2024,Maha,2920.25,60966.479999999996,21,20.877144080130126
Trincomalee,2024,Yala,1427.46,28537.37,12,19.99171255236574
Trincomalee,2025,Maha,2801.9,53458.19,18,19.079264070809096
Trincomalee,2025,Yala,2329.7,46423.6,19,19.926857535304975
Trincomalee,2026,Maha,2528.27,46898.01,17,18.549446854964067
Trincomalee,2026,Yala,1661.55,27876.79,17,16.77758117420481
Vavuniya,2018,Maha,2621.83,49511.39,17,18.884286929358503
Vavuniya,2018,Yala,2312.76,43709.9,14,18.899453466853455
Vavuniya,2019,Maha,2226.85,45901.69,15,20.612834272627257
Vavuniya,2019,Yala,2331.59,50438.26,17,21.632559755360077
Vavuniya,2020,Maha,1896.07,33642.61,15,17.74333753500662
Vavuniya,2020,Yala,2434.37,44787.46,15,18.39796744126817
Vavuniya,2021,Maha,3091.39,54527.56,22,17.638525064776687
Vavuniya,2021,Yala,2318.2,51214.6,17,22.0923992752998
Vavuniya,2022,Maha,3099.81,52315.86,18,16.877118274991048
Vavuniya,2022,Yala,1834.54,37276.37,15,20.319191731987313
Vavuniya,2023,Maha,2081.3,32746.54,15,15.73369528659972
Vavuniya,2023,Yala,2556.5,46379.41,15,18.141760219049484
Vavuniya,2024,Maha,2461.25,44080.56,19,17.90982630777044
Vavuniya,2024,Yala,2839.32,59215.07,16,20.855370299930968
Vavuniya,2025,Maha,2429.83,60278.770000000004,14,24.807813715362805
Vavuniya,2025,Yala,1710.68,33494.090000000004,14,19.579401173802232
Vavuniya,2026,Maha,2554.42,45830.95,16,17.941822409783825
Vavuniya,2026,Yala,1180.46,20611.85,11,17.46086271453501
